Condition,Mean Tokens,Mean CI,Median Tokens,Median CI
Vanilla,"360,261","[326,989, 393,893]","296,715","[264,936, 365,022]"
Vanilla+ASI,"336,484","[303,779, 370,357]","274,384","[227,096, 310,944]"
MCP,"202,687","[174,627, 232,770]","142,657","[71,277, 143,239]"
MCP+ASI,"168,352","[142,023, 197,028]","71,269","[71,260, 71,273]"
