Condition,N,Successes,Success Rate,95% CI,_rate
Vanilla,187,96,51.3%,"[44.2%, 58.5%]",0.5133689839572193
Vanilla+ASI,187,101,54.0%,"[46.9%, 61.2%]",0.5401069518716578
MCP,187,113,60.4%,"[53.4%, 67.4%]",0.6042780748663101
MCP+ASI,187,105,56.1%,"[49.0%, 63.3%]",0.5614973262032086
