Condition,Mean Steps,Mean CI,Median Steps,Median CI,Std
Vanilla,5.21,"[4.74, 5.69]",4.0,"[4.0, 5.0]",3.25
Vanilla+ASI,4.82,"[4.37, 5.29]",4.0,"[3.0, 5.0]",3.20
MCP,2.75,"[2.39, 3.13]",2.0,"[1.0, 2.0]",2.58
MCP+ASI,2.34,"[1.98, 2.74]",1.0,"[1.0, 1.0]",2.60
