Condition,MCP,ASI,Success Rate,N
Vanilla,No,No,0.5133689839572193,187
Vanilla+ASI,No,Yes,0.5401069518716578,187
MCP,Yes,No,0.6042780748663101,187
MCP+ASI,Yes,Yes,0.5614973262032086,187
